title,year,duration,genre,rating,movie_url
The Passion of Joan of Arc ,1928,1h 54min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0019254/
The Grand Budapest Hotel ,2014,1h 39min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt2278388/
The Terminator ,1984,1h 47min,"<a href=""/search/title?genres=action&amp;explore=title_type,genres"">Action</a>","<span itemprop=""ratingValue"">8.0</span>",https://www.imdb.com/title/tt0088247/
Winter Sleep ,2014,3h 16min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt2758880/
Mr. Smith Goes to Washington ,1939,2h 9min,"<a href=""/search/title?genres=comedy&amp;explore=title_type,genres"">Comedy</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0031679/
Rebecca ,1940,2h 10min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0032976/
The Wages of Fear ,1953,2h 11min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0046268/
Gone with the Wind ,1939,3h 58min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0031381/
Ben-Hur ,1959,3h 32min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0052618/
The Bridge on the River Kwai ,1957,2h 41min,"<a href=""/search/title?genres=adventure&amp;explore=title_type,genres"">Adventure</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0050212/
The Third Man ,1949,1h 33min,"<a href=""/search/title?genres=film-noir&amp;explore=title_type,genres"">Film-Noir</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0041959/
On the Waterfront ,1954,1h 48min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0047296/
The 400 Blows ,1959,1h 39min,"<a href=""/search/title?genres=crime&amp;explore=title_type,genres"">Crime</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0053198/
The Battle of Algiers ,1966,2h 1min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0058946/
Andrei Rublev ,1966,3h 25min,"<a href=""/search/title?genres=biography&amp;explore=title_type,genres"">Biography</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0060107/
Persona ,1966,1h 23min,"<a href=""/search/title?genres=drama&amp;explore=title_type,genres"">Drama</a>","<span itemprop=""ratingValue"">8.1</span>",https://www.imdb.com/title/tt0060827/
